"tid","geom","id_0","id","name","prefecture","address","country","product","product_na","quality","activity","duration","addrtype","addrlocat"
53,"0104000020E61000000100000001010000001943EF4394DF36409124AD9DCDAF4340",53,"83","ΑΓΡΟΤΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΒΟΛΟΥ ""ΕΑΣ ΒΟΛΟΥ""","ΜΑΓΝΗΣΙΑΣ","Α΄ ΒΙΠΕ Βόλου του Ν. Μαγνησίας","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","14.04.2016 έως 13.04.2019","establishment","GEOMETRIC_CENTER"
54,"0104000020E6100000010000000101000000DCE1653C00AC3440ADCA749E67BB4340",54,"86","ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ & ΣΙΑ Ο.Ε.","ΙΩΑΝΝΙΝΩΝ","Ζωτικό του Ν. Ιωαννίνων","Ελλάδα","ΤΥΡΙ","ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","03.03.2017 έως 02.03.2020","locality","APPROXIMATE"
55,"0104000020E6100000010000000101000000C3E96EE877453A4068D0D03FC19F4340",55,"87","ΑΙΟΛΙΚΟΣ ΑΕΒΕΤ","ΛΕΣΒΟΥ","Αγία Παρασκευή του Ν. Λέσβου","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","16.12.2015 έως 15.12.2018","locality","APPROXIMATE"
56,"0104000020E6100000010000000101000000DE5A26C3F1BC3740DC798780E80A4340",56,"88","ΑΛΙΦΙΕΡΑΚΗΣ ΜΙΧΑΗΛ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ","ΑΤΤΙΚΗΣ","Αχαρνές του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΓΡΑΒΙΕΡΑ ΚΡΗΤΗΣ","Π.Ο.Π.","εμπορία","11.08.2014 έως 10.08.17","locality","APPROXIMATE"
57,"0104000020E6100000010000000101000000DE5A26C3F1BC3740DC798780E80A4340",57,"89","ΑΛΙΦΙΕΡΑΚΗΣ ΜΙΧΑΗΛ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ","ΑΤΤΙΚΗΣ","Αχαρνές του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","εμπορία","11.08.2014 έως 10.08.17","locality","APPROXIMATE"
58,"0104000020E6100000010000000101000000DE5A26C3F1BC3740DC798780E80A4340",58,"90","ΑΛΙΦΙΕΡΑΚΗΣ ΜΙΧΑΗΛ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ","ΑΤΤΙΚΗΣ","Αχαρνές του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ","Π.Ο.Π.","εμπορία","11.08.2014 έως 10.08.17","locality","APPROXIMATE"
59,"0104000020E6100000010000000101000000DE5A26C3F1BC3740DC798780E80A4340",59,"91","ΑΛΙΦΙΕΡΑΚΗΣ ΜΙΧΑΗΛ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ","ΑΤΤΙΚΗΣ","Αχαρνές του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΞΥΝΟΜΥΖΗΘΡΑ ΚΡΗΤΗΣ","Π.Ο.Π.","εμπορία","11.08.2014 έως 10.08.17","locality","APPROXIMATE"
60,"0104000020E6100000010000000101000000DC43673E8CD9364016D632BED4964440",60,"92","ΑΛΠΑΝΙΔΗΣ ΧΡΗΣΤΟΣ & ΣΙΑ Ο.Ε.","ΚΙΛΚΙΣ","Γάβρα του Ν.Κιλκίς","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","25.04.2014 έως 24.04.2017","locality","APPROXIMATE"
61,"0104000020E610000001000000010100000066DCD440F3533540260D7F9763734340",61,"93","ΑΜΦΙΓΑΛ Α.Ε. ΜΟΝΑΔΑ ΕΠΕΞΕΡΓΑΣΙΑΣ & ΤΥΠΟΠΟΙΗΣΗΣ ΓΑΛΑΚΤΟΣ Α.Ε.","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","Αμφιλοχία του Ν. Αιτωλοκαρνανίας","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","03.03.2017 έως 02.03.2020","locality","APPROXIMATE"
62,"0104000020E610000001000000010100000097169A907BB53640B6099C114A344340",62,"94","ΑΝΔΡΙΤΣΟΣ ΧΡΗΣΤΟΣ ΤΟΥ ΙΩΑΝΝΗ","ΒΟΙΩΤΙΑΣ","Αράχωβα του Ν. Βοιωτίας","Ελλάδα","ΤΥΡΙ","ΦΟΡΜΑΕΛΑ ΑΡΑΧΩΒΑΣ ΠΑΡΝΑΣΣΟΥ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","24.02.2012 έως 23.02.2015","locality","APPROXIMATE"
63,"0104000020E61000000100000001010000008F0475255D803740105B7A34D5DE4240",63,"95","ΑΝΕΔΗΚ ΚΡΗΤΙΚΟΣ Α.Ε.","ΑΤΤΙΚΗΣ","Κυψέλη της νήσου Αίγινας","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","εμπορία","13.04.2016 έως 12.04.2019","establishment","APPROXIMATE"
64,"0104000020E610000001000000010100000057E652019C61354089DF032AD2064340",64,"96","ΑΝΤΙΟΧΟΣ Π. ΚΩΝ. & ΣΙΑ Ο.Ε.","ΗΛΕΙΑΣ","Ανδραβίδα του Ν. Ηλείας","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","21.03.2014 έως 20.03.2017","locality","APPROXIMATE"
65,"0104000020E61000000100000001010000003A0A6BBEA5D9364043215DC713584440",65,"101","ΑΡΤΙΜΑ ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ Α.Ε. με δ.τ. ""ΑΡΤΙΜΑ Α.Ε.""","ΘΕΣ/ΝΙΚΗΣ","Ν. Μαγνησία του Ν. Θεσσαλονίκης","Ελλάδα","ΤΥΡΙ","ΜΑΝΟΥΡΙ","Π.Ο.Π.","εμπορία","20.12.2016 έως 16.05.2018","route","GEOMETRIC_CENTER"
66,"0104000020E61000000100000001010000003A0A6BBEA5D9364043215DC713584440",66,"102","ΑΡΤΙΜΑ ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ Α.Ε. με δ.τ. ""ΑΡΤΙΜΑ Α.Ε.""","ΘΕΣ/ΝΙΚΗΣ","Ν. Μαγνησία του Ν. Θεσσαλονίκης","Ελλάδα","ΤΥΡΙ","ΓΡΑΒΙΕΡΑ ΚΡΗΤΗΣ","Π.Ο.Π.","εμπορία","20.12.2016 έως 16.05.2018","route","GEOMETRIC_CENTER"
67,"0104000020E61000000100000001010000003A0A6BBEA5D9364043215DC713584440",67,"103","ΑΡΤΙΜΑ ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ Α.Ε. με δ.τ. ""ΑΡΤΙΜΑ Α.Ε.""","ΘΕΣ/ΝΙΚΗΣ","Ν. Μαγνησία του Ν. Θεσσαλονίκης","Ελλάδα","ΤΥΡΙ","ΓΡΑΒΙΕΡΑ ΝΑΞΟΥ","Π.Ο.Π.","εμπορία","20.12.2016 έως 05.04.2019","route","GEOMETRIC_CENTER"
68,"0104000020E61000000100000001010000003A0A6BBEA5D9364043215DC713584440",68,"104","ΑΡΤΙΜΑ ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ Α.Ε. με δ.τ. ""ΑΡΤΙΜΑ Α.Ε.""","ΘΕΣ/ΝΙΚΗΣ","Ν. Μαγνησία του Ν. Θεσσαλονίκης","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","εμπορία","20.12.2016 έως 12.06.2019","route","GEOMETRIC_CENTER"
69,"0104000020E6100000010000000101000000BE4AE3BCA4F636400C7CA070D1484440",69,"105","ΑΥΓΗΤΑ ΝΙΚΗ & ΣΙΑ Ε.Ε.","ΘΕΣ/ΝΙΚΗΣ","Καλαμαριά του Ν.  Θεσσαλονίκης","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","εμπορία","08.12.2015 έως 07.12.2018","route","GEOMETRIC_CENTER"
70,"0104000020E6100000010000000101000000403965C97752374058DF652BD41B4340",70,"108","ΑΦΕΣ ΠΑΓΩΝΗ & ΣΙΑ Ο.Ε.","ΑΤΤΙΚΗΣ","Ερυθρές του Ν. Αττικής","Ελλάδα","ΤΥΡΙ","ΚΕΦΑΛΟΓΡΑΒΙΕΡΑ","Π.Ο.Π.","συσ/σια - τυπ/ση, εμπορία","08.03.2017 έως 07.03.2020","locality","APPROXIMATE"
