"legtype","agrarea","indic_ef","geo","time","values"
"TOTAL","TOTAL","HOLD_HOLD","UKE3","2013",850
"TOTAL","TOTAL","HOLD_HOLD","UKE4","2013",1630
"TOTAL","TOTAL","HOLD_HOLD","UKF1","2013",3880
"TOTAL","TOTAL","HOLD_HOLD","UKF2","2013",3850
"TOTAL","TOTAL","HOLD_HOLD","UKF3","2013",3560
"TOTAL","TOTAL","HOLD_HOLD","UKG1","2013",6110
"TOTAL","TOTAL","HOLD_HOLD","UKG2","2013",5820
"TOTAL","TOTAL","HOLD_HOLD","UKG3","2013",220
"TOTAL","TOTAL","HOLD_HOLD","UKH1","2013",7600
"TOTAL","TOTAL","HOLD_HOLD","UKH2","2013",1590
"TOTAL","TOTAL","HOLD_HOLD","UKH3","2013",2250
"TOTAL","TOTAL","HOLD_HOLD","UKI1","2013",0
"TOTAL","TOTAL","HOLD_HOLD","UKI2","2013",200
"TOTAL","TOTAL","HOLD_HOLD","UKJ1","2013",3690
"TOTAL","TOTAL","HOLD_HOLD","UKJ2","2013",4620
"TOTAL","TOTAL","HOLD_HOLD","UKJ3","2013",2490
"TOTAL","TOTAL","HOLD_HOLD","UKJ4","2013",2860
"TOTAL","TOTAL","HOLD_HOLD","UKK1","2013",6020
"TOTAL","TOTAL","HOLD_HOLD","UKK2","2013",6640
"TOTAL","TOTAL","HOLD_HOLD","UKK3","2013",4040
"TOTAL","TOTAL","HOLD_HOLD","UKK4","2013",8300
"TOTAL","TOTAL","HOLD_HOLD","UKL1","2013",16640
"TOTAL","TOTAL","HOLD_HOLD","UKL2","2013",8410
"TOTAL","TOTAL","HOLD_HOLD","UKM2","2013",7470
"TOTAL","TOTAL","HOLD_HOLD","UKM3","2013",7210
"TOTAL","TOTAL","HOLD_HOLD","UKM5","2013",4700
"TOTAL","TOTAL","HOLD_HOLD","UKM6","2013",13130
"TOTAL","TOTAL","HOLD_HOLD","UKN0","2013",24510
"TOTAL","TOTAL","HOLD_HOLD","AT11","2010",8040
"TOTAL","TOTAL","HOLD_HOLD","AT12","2010",36460
"TOTAL","TOTAL","HOLD_HOLD","AT13","2010",540
"TOTAL","TOTAL","HOLD_HOLD","AT21","2010",13940
"TOTAL","TOTAL","HOLD_HOLD","AT22","2010",33820
"TOTAL","TOTAL","HOLD_HOLD","AT31","2010",30030
"TOTAL","TOTAL","HOLD_HOLD","AT32","2010",9020
"TOTAL","TOTAL","HOLD_HOLD","AT33","2010",14410
"TOTAL","TOTAL","HOLD_HOLD","AT34","2010",3910
"TOTAL","TOTAL","HOLD_HOLD","BE10","2010",20
"TOTAL","TOTAL","HOLD_HOLD","BE21","2010",4330
"TOTAL","TOTAL","HOLD_HOLD","BE22","2010",3510
"TOTAL","TOTAL","HOLD_HOLD","BE23","2010",7490
"TOTAL","TOTAL","HOLD_HOLD","BE24","2010",3410
"TOTAL","TOTAL","HOLD_HOLD","BE25","2010",9590
"TOTAL","TOTAL","HOLD_HOLD","BE31","2010",1110
