"legtype","agrarea","indic_ef","geo","time","values"
"TOTAL","TOTAL","AGRAREA_HA","HU32","2010",1051090
"TOTAL","TOTAL","AGRAREA_HA","HU33","2010",1107420
"TOTAL","TOTAL","AGRAREA_HA","IE01","2010",2297670
"TOTAL","TOTAL","AGRAREA_HA","IE02","2010",2693680
"TOTAL","TOTAL","AGRAREA_HA","IS00","2010",1595670
"TOTAL","TOTAL","AGRAREA_HA","ITC1","2010",1010780
"TOTAL","TOTAL","AGRAREA_HA","ITC2","2010",55600
"TOTAL","TOTAL","AGRAREA_HA","ITC3","2010",43780
"TOTAL","TOTAL","AGRAREA_HA","ITC4","2010",986830
"TOTAL","TOTAL","AGRAREA_HA","ITF1","2010",453630
"TOTAL","TOTAL","AGRAREA_HA","ITF2","2010",197520
"TOTAL","TOTAL","AGRAREA_HA","ITF3","2010",549530
"TOTAL","TOTAL","AGRAREA_HA","ITF4","2010",1285290
"TOTAL","TOTAL","AGRAREA_HA","ITF5","2010",519130
"TOTAL","TOTAL","AGRAREA_HA","ITF6","2010",549250
"TOTAL","TOTAL","AGRAREA_HA","ITG1","2010",1387520
"TOTAL","TOTAL","AGRAREA_HA","ITG2","2010",1153690
"TOTAL","TOTAL","AGRAREA_HA","ITH1","2010",240540
"TOTAL","TOTAL","AGRAREA_HA","ITH2","2010",137220
"TOTAL","TOTAL","AGRAREA_HA","ITH3","2010",811440
"TOTAL","TOTAL","AGRAREA_HA","ITH4","2010",218440
"TOTAL","TOTAL","AGRAREA_HA","ITH5","2010",1064210
"TOTAL","TOTAL","AGRAREA_HA","ITI1","2010",754340
"TOTAL","TOTAL","AGRAREA_HA","ITI2","2010",326880
"TOTAL","TOTAL","AGRAREA_HA","ITI3","2010",471830
"TOTAL","TOTAL","AGRAREA_HA","ITI4","2010",638600
"TOTAL","TOTAL","AGRAREA_HA","LT00","2010",2742560
"TOTAL","TOTAL","AGRAREA_HA","LU00","2010",131110
"TOTAL","TOTAL","AGRAREA_HA","LV00","2010",1796290
"TOTAL","TOTAL","AGRAREA_HA","ME00","2010",221300
"TOTAL","TOTAL","AGRAREA_HA","MT00","2010",11450
"TOTAL","TOTAL","AGRAREA_HA","NL11","2010",162190
"TOTAL","TOTAL","AGRAREA_HA","NL12","2010",229080
"TOTAL","TOTAL","AGRAREA_HA","NL13","2010",149940
"TOTAL","TOTAL","AGRAREA_HA","NL21","2010",202620
"TOTAL","TOTAL","AGRAREA_HA","NL22","2010",238200
"TOTAL","TOTAL","AGRAREA_HA","NL23","2010",89310
"TOTAL","TOTAL","AGRAREA_HA","NL31","2010",66630
"TOTAL","TOTAL","AGRAREA_HA","NL32","2010",130690
"TOTAL","TOTAL","AGRAREA_HA","NL33","2010",134190
"TOTAL","TOTAL","AGRAREA_HA","NL34","2010",117990
"TOTAL","TOTAL","AGRAREA_HA","NL41","2010",251400
"TOTAL","TOTAL","AGRAREA_HA","NL42","2010",100100
"TOTAL","TOTAL","AGRAREA_HA","NO01","2010",78210
"TOTAL","TOTAL","AGRAREA_HA","NO02","2010",208120
"TOTAL","TOTAL","AGRAREA_HA","NO03","2010",192310
"TOTAL","TOTAL","AGRAREA_HA","NO04","2010",130100
"TOTAL","TOTAL","AGRAREA_HA","NO05","2010",143330
"TOTAL","TOTAL","AGRAREA_HA","NO06","2010",161960
"TOTAL","TOTAL","AGRAREA_HA","NO07","2010",91910
"TOTAL","TOTAL","AGRAREA_HA","PL11","2010",957060
"TOTAL","TOTAL","AGRAREA_HA","PL12","2010",1834790
"TOTAL","TOTAL","AGRAREA_HA","PL21","2010",565200
"TOTAL","TOTAL","AGRAREA_HA","PL22","2010",357310
"TOTAL","TOTAL","AGRAREA_HA","PL31","2010",1356740
"TOTAL","TOTAL","AGRAREA_HA","PL32","2010",569520
