"animals","unit","geo","time","values"
"A2000","THS_HD","EL41","1998",8.1
"A2000","THS_HD","EL42","1998",21.7
"A2000","THS_HD","EL43","1998",3.1
"A2000","THS_HD","EL51","1998",87.7
"A2000","THS_HD","EL52","1998",204.5
"A2000","THS_HD","EL53","1998",53.1
"A2000","THS_HD","EL54","1998",45.7
"A2000","THS_HD","EL61","1998",78.6
"A2000","THS_HD","EL62","1998",5.2
"A2000","THS_HD","EL63","1998",34.8
"A2000","THS_HD","EL64","1998",16.9
"A2000","THS_HD","EL65","1998",10.1
"A2000","THS_HD","EL11","1997",103.3
"A2000","THS_HD","EL12","1997",210.2
"A2000","THS_HD","EL13","1997",59
"A2000","THS_HD","EL14","1997",74.8
"A2000","THS_HD","EL21","1997",41.3
"A2000","THS_HD","EL22","1997",4.7
"A2000","THS_HD","EL23","1997",36.8
"A2000","THS_HD","EL24","1997",13.9
"A2000","THS_HD","EL25","1997",10.3
"A2000","THS_HD","EL30","1997",12
"A2000","THS_HD","EL41","1997",7.7
"A2000","THS_HD","EL42","1997",20.5
"A2000","THS_HD","EL43","1997",1.6
"A2000","THS_HD","EL51","1997",103.3
"A2000","THS_HD","EL52","1997",210.2
"A2000","THS_HD","EL53","1997",59
"A2000","THS_HD","EL54","1997",41.3
"A2000","THS_HD","EL61","1997",74.8
"A2000","THS_HD","EL62","1997",4.7
"A2000","THS_HD","EL63","1997",36.8
"A2000","THS_HD","EL64","1997",13.9
"A2000","THS_HD","EL65","1997",10.3
"A2000","THS_HD","EL11","1996",105.2
"A2000","THS_HD","EL12","1996",209.6
"A2000","THS_HD","EL13","1996",57.6
"A2000","THS_HD","EL14","1996",73.3
"A2000","THS_HD","EL21","1996",40.1
"A2000","THS_HD","EL22","1996",5.2
"A2000","THS_HD","EL23","1996",35.2
"A2000","THS_HD","EL24","1996",14.2
"A2000","THS_HD","EL25","1996",10.5
"A2000","THS_HD","EL30","1996",10.8
"A2000","THS_HD","EL41","1996",8.8
"A2000","THS_HD","EL42","1996",20.5
"A2000","THS_HD","EL43","1996",2.2
"A2000","THS_HD","EL51","1996",105.2
"A2000","THS_HD","EL52","1996",209.6
"A2000","THS_HD","EL53","1996",57.6
"A2000","THS_HD","EL54","1996",40.1
"A2000","THS_HD","EL61","1996",73.3
"A2000","THS_HD","EL62","1996",5.2
"A2000","THS_HD","EL63","1996",35.2
"A2000","THS_HD","EL64","1996",14.2
"A2000","THS_HD","EL65","1996",10.5
"A2000","THS_HD","EL11","1995",101.9
"A2000","THS_HD","EL12","1995",215.7
"A2000","THS_HD","EL13","1995",53.9
"A2000","THS_HD","EL14","1995",74.6
"A2000","THS_HD","EL21","1995",46
"A2000","THS_HD","EL22","1995",5.3
"A2000","THS_HD","EL23","1995",33
"A2000","THS_HD","EL24","1995",16.8
"A2000","THS_HD","EL25","1995",11.2
"A2000","THS_HD","EL30","1995",11.1
"A2000","THS_HD","EL41","1995",9
"A2000","THS_HD","EL42","1995",21.7
"A2000","THS_HD","EL43","1995",2.4
"A2000","THS_HD","EL51","1995",101.9
"A2000","THS_HD","EL52","1995",215.7
"A2000","THS_HD","EL53","1995",53.9
"A2000","THS_HD","EL54","1995",46
"A2000","THS_HD","EL61","1995",74.6
"A2000","THS_HD","EL62","1995",5.3
"A2000","THS_HD","EL63","1995",33
"A2000","THS_HD","EL64","1995",16.8
"A2000","THS_HD","EL65","1995",11.2
"A2000","THS_HD","EL11","1994",81.6
"A2000","THS_HD","EL12","1994",200.7
"A2000","THS_HD","EL13","1994",38.7
"A2000","THS_HD","EL14","1994",83.8
"A2000","THS_HD","EL21","1994",32
"A2000","THS_HD","EL22","1994",4.1
"A2000","THS_HD","EL23","1994",35.1
"A2000","THS_HD","EL24","1994",16.1
"A2000","THS_HD","EL25","1994",10.7
"A2000","THS_HD","EL30","1994",8.7
"A2000","THS_HD","EL41","1994",7
"A2000","THS_HD","EL42","1994",18.4
"A2000","THS_HD","EL43","1994",2.4
"A2000","THS_HD","EL51","1994",81.6
"A2000","THS_HD","EL52","1994",200.7
"A2000","THS_HD","EL53","1994",38.7
"A2000","THS_HD","EL54","1994",32
"A2000","THS_HD","EL61","1994",83.8
"A2000","THS_HD","EL62","1994",4.1
"A2000","THS_HD","EL63","1994",35.1
"A2000","THS_HD","EL64","1994",16.1
"A2000","THS_HD","EL65","1994",10.7
"A2000","THS_HD","EL11","1993",92.8
"A2000","THS_HD","EL12","1993",205.6
"A2000","THS_HD","EL13","1993",64.5
"A2000","THS_HD","EL14","1993",73.6
"A2000","THS_HD","EL21","1993",41.9
"A2000","THS_HD","EL22","1993",4.3
"A2000","THS_HD","EL23","1993",29.6
"A2000","THS_HD","EL24","1993",31
"A2000","THS_HD","EL25","1993",12.9
"A2000","THS_HD","EL30","1993",8.2
"A2000","THS_HD","EL41","1993",13.5
"A2000","THS_HD","EL42","1993",26.6
"A2000","THS_HD","EL43","1993",3.9
"A2000","THS_HD","EL51","1993",92.8
"A2000","THS_HD","EL52","1993",205.6
"A2000","THS_HD","EL53","1993",64.5
"A2000","THS_HD","EL54","1993",41.9
"A2000","THS_HD","EL61","1993",73.6
"A2000","THS_HD","EL62","1993",4.3
"A2000","THS_HD","EL63","1993",29.6
"A2000","THS_HD","EL64","1993",31
"A2000","THS_HD","EL65","1993",12.9
"A2000","THS_HD","EL11","1992",102.7
"A2000","THS_HD","EL12","1992",210
"A2000","THS_HD","EL13","1992",62.9
"A2000","THS_HD","EL14","1992",80.1
"A2000","THS_HD","EL21","1992",46.1
"A2000","THS_HD","EL22","1992",4.2
"A2000","THS_HD","EL23","1992",31
"A2000","THS_HD","EL24","1992",20.1
"A2000","THS_HD","EL25","1992",15.4
"A2000","THS_HD","EL30","1992",9
"A2000","THS_HD","EL41","1992",13.6
"A2000","THS_HD","EL42","1992",27.6
"A2000","THS_HD","EL43","1992",6.2
"A2000","THS_HD","EL51","1992",102.7
"A2000","THS_HD","EL52","1992",210
"A2000","THS_HD","EL53","1992",62.9
"A2000","THS_HD","EL54","1992",46.1
"A2000","THS_HD","EL61","1992",80.1
"A2000","THS_HD","EL62","1992",4.2
"A2000","THS_HD","EL63","1992",31
"A2000","THS_HD","EL64","1992",20.1
"A2000","THS_HD","EL65","1992",15.4
"A2000","THS_HD","EL11","1991",102.7
"A2000","THS_HD","EL12","1991",209.5
"A2000","THS_HD","EL13","1991",61.5
"A2000","THS_HD","EL14","1991",81.8
"A2000","THS_HD","EL21","1991",50
"A2000","THS_HD","EL22","1991",4.8
"A2000","THS_HD","EL23","1991",31.5
"A2000","THS_HD","EL24","1991",16.5
"A2000","THS_HD","EL25","1991",15.3
"A2000","THS_HD","EL30","1991",9.6
"A2000","THS_HD","EL41","1991",13.1
"A2000","THS_HD","EL42","1991",29.4
"A2000","THS_HD","EL43","1991",5.1
"A2000","THS_HD","EL51","1991",102.7
"A2000","THS_HD","EL52","1991",209.5
"A2000","THS_HD","EL53","1991",61.5
"A2000","THS_HD","EL54","1991",50
"A2000","THS_HD","EL61","1991",81.8
"A2000","THS_HD","EL62","1991",4.8
"A2000","THS_HD","EL63","1991",31.5
"A2000","THS_HD","EL64","1991",16.5
"A2000","THS_HD","EL65","1991",15.3
"A2000","THS_HD","EL11","1990",120.4
"A2000","THS_HD","EL12","1990",222
"A2000","THS_HD","EL13","1990",61
"A2000","THS_HD","EL14","1990",88.2
"A2000","THS_HD","EL21","1990",57
"A2000","THS_HD","EL22","1990",6.5
"A2000","THS_HD","EL23","1990",33.8
"A2000","THS_HD","EL24","1990",19.7
"A2000","THS_HD","EL25","1990",16
"A2000","THS_HD","EL30","1990",12.8
"A2000","THS_HD","EL41","1990",12
"A2000","THS_HD","EL42","1990",30.6
"A2000","THS_HD","EL43","1990",6.6
"A2000","THS_HD","EL51","1990",120.4
"A2000","THS_HD","EL52","1990",222
"A2000","THS_HD","EL53","1990",61
"A2000","THS_HD","EL54","1990",57
"A2000","THS_HD","EL61","1990",88.2
"A2000","THS_HD","EL62","1990",6.5
"A2000","THS_HD","EL63","1990",33.8
"A2000","THS_HD","EL64","1990",19.7
"A2000","THS_HD","EL65","1990",16
"A2000","THS_HD","EL11","1989",119.3
"A2000","THS_HD","EL12","1989",231.6
"A2000","THS_HD","EL13","1989",57
"A2000","THS_HD","EL14","1989",87.1
"A2000","THS_HD","EL21","1989",55.8
"A2000","THS_HD","EL22","1989",7
"A2000","THS_HD","EL23","1989",33.1
"A2000","THS_HD","EL24","1989",18
"A2000","THS_HD","EL25","1989",16.1
"A2000","THS_HD","EL30","1989",13.1
"A2000","THS_HD","EL41","1989",12.8
"A2000","THS_HD","EL42","1989",32.3
"A2000","THS_HD","EL43","1989",6.4
"A2000","THS_HD","EL51","1989",119.3
"A2000","THS_HD","EL52","1989",231.6
"A2000","THS_HD","EL53","1989",57
"A2000","THS_HD","EL54","1989",55.8
"A2000","THS_HD","EL61","1989",87.1
"A2000","THS_HD","EL62","1989",7
"A2000","THS_HD","EL63","1989",33.1
"A2000","THS_HD","EL64","1989",18
"A2000","THS_HD","EL65","1989",16.1
"A2000","THS_HD","EL11","1988",126.3
"A2000","THS_HD","EL12","1988",234.2
"A2000","THS_HD","EL13","1988",58.3
"A2000","THS_HD","EL14","1988",94.1
"A2000","THS_HD","EL21","1988",51.4
"A2000","THS_HD","EL22","1988",6.3
"A2000","THS_HD","EL23","1988",31.9
"A2000","THS_HD","EL24","1988",16.4
"A2000","THS_HD","EL25","1988",16.3
"A2000","THS_HD","EL30","1988",13.3
"A2000","THS_HD","EL41","1988",12.7
"A2000","THS_HD","EL42","1988",31.5
"A2000","THS_HD","EL43","1988",3.2
"A2000","THS_HD","EL51","1988",126.3
"A2000","THS_HD","EL52","1988",234.2
"A2000","THS_HD","EL53","1988",58.3
"A2000","THS_HD","EL54","1988",51.4
"A2000","THS_HD","EL61","1988",94.1
"A2000","THS_HD","EL62","1988",6.3
"A2000","THS_HD","EL63","1988",31.9
"A2000","THS_HD","EL64","1988",16.4
"A2000","THS_HD","EL65","1988",16.3
"A2000","THS_HD","EL11","1984",155.8
"A2000","THS_HD","EL12","1984",261.7
"A2000","THS_HD","EL13","1984",57
"A2000","THS_HD","EL21","1984",27.2
"A2000","THS_HD","EL22","1984",9
"A2000","THS_HD","EL23","1984",31.9
"A2000","THS_HD","EL24","1984",16.8
"A2000","THS_HD","EL25","1984",15.1
"A2000","THS_HD","EL30","1984",12.9
"A2000","THS_HD","EL41","1984",13
"A2000","THS_HD","EL42","1984",33.8
