"milkitem","dairyprod","geo","time","values"
"PRO","D1110A","DEC0","2016",97.42
"PRO","D1110A","DED5","2016",283.17
"PRO","D1110A","DEF0","2016",2965.36
"PRO","D1110A","DEG0","2016",995.06
"PRO","D1110A","DK01","2016",81.5
"PRO","D1110A","DK02","2016",168.5
"PRO","D1110A","DK03","2016",2103.6
"PRO","D1110A","DK04","2016",1766.6
"PRO","D1110A","DK05","2016",1315.4
"PRO","D1110A","EE00","2016",782.7
"PRO","D1110A","EL30","2016",13.14
"PRO","D1110A","EL41","2016",3.02
"PRO","D1110A","EL42","2016",17.48
"PRO","D1110A","EL43","2016",0.75
"PRO","D1110A","EL51","2016",115.86
"PRO","D1110A","EL52","2016",317.73
"PRO","D1110A","EL53","2016",35.47
"PRO","D1110A","EL54","2016",21.66
"PRO","D1110A","EL61","2016",122.73
"PRO","D1110A","EL62","2016",0.8
"PRO","D1110A","EL63","2016",25.61
"PRO","D1110A","EL64","2016",25.25
"PRO","D1110A","EL65","2016",3.06
"PRO","D1110A","ES11","2016",2702.24
"PRO","D1110A","ES12","2016",582.91
"PRO","D1110A","ES13","2016",465.54
"PRO","D1110A","ES21","2016",184.6
"PRO","D1110A","ES22","2016",246.68
"PRO","D1110A","ES23","2016",20.84
"PRO","D1110A","ES24","2016",142.76
"PRO","D1110A","ES30","2016",60.6
"PRO","D1110A","ES41","2016",875.33
"PRO","D1110A","ES42","2016",247.85
"PRO","D1110A","ES43","2016",29.62
"PRO","D1110A","ES51","2016",744.5
"PRO","D1110A","ES52","2016",71.1
"PRO","D1110A","ES53","2016",77.09
"PRO","D1110A","ES61","2016",572.68
"PRO","D1110A","ES62","2016",57.71
"PRO","D1110A","ES63","2016",0
"PRO","D1110A","ES64","2016",0
"PRO","D1110A","ES70","2016",41.71
"PRO","D1110A","FI19","2016",697.42
"PRO","D1110A","FI1B","2016",71.11
"PRO","D1110A","FI1C","2016",310.24
"PRO","D1110A","FI1D","2016",1331.05
"PRO","D1110A","FI20","2016",19.77
"PRO","D1110A","FR10","2016",34.87
"PRO","D1110A","FR21","2016",665.62
"PRO","D1110A","FR22","2016",912.26
"PRO","D1110A","FR23","2016",882.54
"PRO","D1110A","FR24","2016",474.04
"PRO","D1110A","FR25","2016",3048.3
"PRO","D1110A","FR26","2016",359.87
"PRO","D1110A","FR30","2016",1443.86
"PRO","D1110A","FR41","2016",1316.13
"PRO","D1110A","FR42","2016",334.44
"PRO","D1110A","FR43","2016",1242.35
"PRO","D1110A","FR51","2016",3997.77
"PRO","D1110A","FR52","2016",5488.28
"PRO","D1110A","FR53","2016",622.75
"PRO","D1110A","FR61","2016",513.22
"PRO","D1110A","FR62","2016",776.31
"PRO","D1110A","FR63","2016",154.96
"PRO","D1110A","FR71","2016",1620.62
"PRO","D1110A","FR72","2016",1196.21
"PRO","D1110A","FR81","2016",79.59
"PRO","D1110A","FR82","2016",27.13
"PRO","D1110A","FR83","2016",0
"PRO","D1110A","FRA1","2016",0
"PRO","D1110A","FRA2","2016",0.38
"PRO","D1110A","FRA3","2016",0.06
"PRO","D1110A","FRA4","2016",19.17
"PRO","D1110A","FRA5","2016",0
"PRO","D1110A","FRB0","2016",459.52
"PRO","D1110A","FRC1","2016",362.01
"PRO","D1110A","FRC2","2016",1246.16
"PRO","D1110A","FRD1","2016",2998.53
"PRO","D1110A","FRD2","2016",883.9
"PRO","D1110A","FRE1","2016",1470.72
"PRO","D1110A","FRE2","2016",887.47
"PRO","D1110A","FRF1","2016",334.63
"PRO","D1110A","FRF2","2016",667.09
"PRO","D1110A","FRF3","2016",1311.25
"PRO","D1110A","FRG0","2016",3942.57
"PRO","D1110A","FRH0","2016",5565.17
"PRO","D1110A","FRI1","2016",513.09
"PRO","D1110A","FRI2","2016",154.51
"PRO","D1110A","FRI3","2016",622.6
"PRO","D1110A","FRJ1","2016",79.59
"PRO","D1110A","FRJ2","2016",775.89
"PRO","D1110A","FRK1","2016",1183.12
"PRO","D1110A","FRK2","2016",1597.45
"PRO","D1110A","FRL0","2016",27.13
"PRO","D1110A","FRM0","2016",0
"PRO","D1110A","FRY1","2016",0
"PRO","D1110A","FRY2","2016",0.38
"PRO","D1110A","FRY3","2016",0.06
"PRO","D1110A","FRY4","2016",19.17
"PRO","D1110A","FRY5","2016",2.05
"PRO","D1110A","HR03","2016",58
"PRO","D1110A","HR04","2016",613
"PRO","D1110A","HU10","2016",140.03
"PRO","D1110A","HU21","2016",300.83
"PRO","D1110A","HU22","2016",275.19
"PRO","D1110A","HU23","2016",235.87
"PRO","D1110A","HU31","2016",131.77
"PRO","D1110A","HU32","2016",453.84
"PRO","D1110A","HU33","2016",380.72
"PRO","D1110A","IE01","2016",1397
"PRO","D1110A","IE02","2016",5454.4
"PRO","D1110A","IE04","2016",810.61
"PRO","D1110A","IE05","2016",4988.88
"PRO","D1110A","IE06","2016",1072.44
"PRO","D1110A","ITC1","2016",867.68
"PRO","D1110A","ITC2","2016",71.32
"PRO","D1110A","ITC3","2016",47.54
"PRO","D1110A","ITC4","2016",4742.53
"PRO","D1110A","ITF1","2016",59.43
"PRO","D1110A","ITF2","2016",47.54
"PRO","D1110A","ITF3","2016",309.04
"PRO","D1110A","ITF4","2016",225.84
"PRO","D1110A","ITF5","2016",71.32
"PRO","D1110A","ITF6","2016",106.97
"PRO","D1110A","ITG1","2016",249.61
"PRO","D1110A","ITG2","2016",237.72
"PRO","D1110A","ITH1","2016",416.01
"PRO","D1110A","ITH2","2016",166.41
"PRO","D1110A","ITH3","2016",1057.86
"PRO","D1110A","ITH4","2016",190.18
"PRO","D1110A","ITH5","2016",2460.41
"PRO","D1110A","ITI1","2016",83.2
"PRO","D1110A","ITI2","2016",47.54
"PRO","D1110A","ITI3","2016",59.43
"PRO","D1110A","ITI4","2016",368.47
"PRO","D1110A","LT00","2016",1623.9
"PRO","D1110A","LT01","2016",71.4
"PRO","D1110A","LT02","2016",1552.5
"PRO","D1110A","LU00","2016",376.22
"PRO","D1110A","LV00","2016",983.5
"PRO","D1110A","ME00","2016",168.04
"PRO","D1110A","MT00","2016",43.13
"PRO","D1110A","NL11","2016",927
"PRO","D1110A","NL12","2016",2617
"PRO","D1110A","NL13","2016",971
"PRO","D1110A","NL21","2016",2319
"PRO","D1110A","NL22","2016",2190
"PRO","D1110A","NL23","2016",319
"PRO","D1110A","NL31","2016",766
"PRO","D1110A","NL32","2016",768
"PRO","D1110A","NL33","2016",893
"PRO","D1110A","NL34","2016",203
"PRO","D1110A","NL41","2016",2089
"PRO","D1110A","NL42","2016",469
"PRO","D1110A","NO01","2016",27.7
"PRO","D1110A","NO02","2016",259.9
"PRO","D1110A","NO03","2016",97.7
"PRO","D1110A","NO04","2016",328.6
"PRO","D1110A","NO05","2016",330.5
"PRO","D1110A","NO06","2016",326.3
"PRO","D1110A","NO07","2016",153.5
