"indic_ef","agrarea","geo","time","values"
"AGRAREA_HA","TOTAL","CZ03","2010",732170
"AGRAREA_HA","TOTAL","CZ04","2010",318850
"AGRAREA_HA","TOTAL","CZ05","2010",559120
"AGRAREA_HA","TOTAL","CZ06","2010",714590
"AGRAREA_HA","TOTAL","CZ07","2010",384990
"AGRAREA_HA","TOTAL","CZ08","2010",208150
"AGRAREA_HA","TOTAL","DE","2010",16704040
"AGRAREA_HA","TOTAL","DE1","2010",1409990
"AGRAREA_HA","TOTAL","DE2","2010",3136840
"AGRAREA_HA","TOTAL","DE3","2010",2180
"AGRAREA_HA","TOTAL","DE4","2010",1323690
"AGRAREA_HA","TOTAL","DE5","2010",8250
"AGRAREA_HA","TOTAL","DE6","2010",14330
"AGRAREA_HA","TOTAL","DE7","2010",766440
"AGRAREA_HA","TOTAL","DE8","2010",1350880
"AGRAREA_HA","TOTAL","DE9","2010",2577020
"AGRAREA_HA","TOTAL","DEA","2010",1463090
"AGRAREA_HA","TOTAL","DEB","2010",705220
"AGRAREA_HA","TOTAL","DEC","2010",77880
"AGRAREA_HA","TOTAL","DED","2010",912740
"AGRAREA_HA","TOTAL","DEE","2010",1173090
"AGRAREA_HA","TOTAL","DEF","2010",995640
"AGRAREA_HA","TOTAL","DEG","2010",786760
"AGRAREA_HA","TOTAL","DK","2010",2646860
"AGRAREA_HA","TOTAL","DK01","2010",98560
"AGRAREA_HA","TOTAL","DK02","2010",477770
"AGRAREA_HA","TOTAL","DK03","2010",787860
"AGRAREA_HA","TOTAL","DK04","2010",791780
"AGRAREA_HA","TOTAL","DK05","2010",490900
"AGRAREA_HA","TOTAL","EE","2010",940930
"AGRAREA_HA","TOTAL","EE00","2010",940930
"AGRAREA_HA","TOTAL","EL","2010",5177510
"AGRAREA_HA","TOTAL","EL11","2010",636450
"AGRAREA_HA","TOTAL","EL12","2010",966770
"AGRAREA_HA","TOTAL","EL13","2010",307890
"AGRAREA_HA","TOTAL","EL14","2010",730080
"AGRAREA_HA","TOTAL","EL21","2010",207290
"AGRAREA_HA","TOTAL","EL22","2010",88450
"AGRAREA_HA","TOTAL","EL23","2010",400290
"AGRAREA_HA","TOTAL","EL24","2010",565740
"AGRAREA_HA","TOTAL","EL25","2010",502470
"AGRAREA_HA","TOTAL","EL30","2010",50910
"AGRAREA_HA","TOTAL","EL41","2010",168610
"AGRAREA_HA","TOTAL","EL42","2010",106080
"AGRAREA_HA","TOTAL","EL43","2010",446490
"AGRAREA_HA","TOTAL","ES","2010",23752690
"AGRAREA_HA","TOTAL","ES11","2010",647600
"AGRAREA_HA","TOTAL","ES12","2010",363180
"AGRAREA_HA","TOTAL","ES13","2010",235240
"AGRAREA_HA","TOTAL","ES21","2010",190390
"AGRAREA_HA","TOTAL","ES22","2010",545520
"AGRAREA_HA","TOTAL","ES23","2010",230220
"AGRAREA_HA","TOTAL","ES24","2010",2345700
"AGRAREA_HA","TOTAL","ES30","2010",315260
"AGRAREA_HA","TOTAL","ES41","2010",5362470
"AGRAREA_HA","TOTAL","ES42","2010",4091440
"AGRAREA_HA","TOTAL","ES43","2010",2585900
"AGRAREA_HA","TOTAL","ES51","2010",1147530
"AGRAREA_HA","TOTAL","ES52","2010",657470
"AGRAREA_HA","TOTAL","ES53","2010",182320
"AGRAREA_HA","TOTAL","ES61","2010",4402760
"AGRAREA_HA","TOTAL","ES62","2010",394540
"AGRAREA_HA","TOTAL","ES63","2010",0
"AGRAREA_HA","TOTAL","ES64","2010",0
"AGRAREA_HA","TOTAL","ES70","2010",55070
"AGRAREA_HA","TOTAL","FI","2010",2290980
"AGRAREA_HA","TOTAL","FI19","2010",793380
"AGRAREA_HA","TOTAL","FI1B","2010",184760
"AGRAREA_HA","TOTAL","FI1C","2010",627220
"AGRAREA_HA","TOTAL","FI1D","2010",665990
"AGRAREA_HA","TOTAL","FI20","2010",19620
"AGRAREA_HA","TOTAL","FR","2010",27837290
"AGRAREA_HA","TOTAL","FR10","2010",568840
"AGRAREA_HA","TOTAL","FR21","2010",1536950
"AGRAREA_HA","TOTAL","FR22","2010",1328370
"AGRAREA_HA","TOTAL","FR23","2010",774550
"AGRAREA_HA","TOTAL","FR24","2010",2311400
"AGRAREA_HA","TOTAL","FR25","2010",1210810
"AGRAREA_HA","TOTAL","FR26","2010",1762610
"AGRAREA_HA","TOTAL","FR30","2010",817990
"AGRAREA_HA","TOTAL","FR41","2010",1138400
"AGRAREA_HA","TOTAL","FR42","2010",336770
"AGRAREA_HA","TOTAL","FR43","2010",667190
"AGRAREA_HA","TOTAL","FR51","2010",2103390
"AGRAREA_HA","TOTAL","FR52","2010",1639840
"AGRAREA_HA","TOTAL","FR53","2010",1721280
"AGRAREA_HA","TOTAL","FR61","2010",1477320
"AGRAREA_HA","TOTAL","FR62","2010",2540090
"AGRAREA_HA","TOTAL","FR63","2010",838760
"AGRAREA_HA","TOTAL","FR71","2010",1516680
"AGRAREA_HA","TOTAL","FR72","2010",1469490
